model,location,target_type,forecast_date,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,target_end_date,model_type
CovidMetrics-epiBATS,DE,Cases,2021-06-07,1,1888.98434782609,1799.72347826087,0,89.2608695652174,0.310434782608696,0.2,1393,2021-06-12,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-07,2,4747.71826086957,3766.54434782609,0,981.173913043478,0.136521739130435,0.4,7421,2021-06-19,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-07,3,6173.0847826087,5034.12826086957,0,1138.95652173913,0.223478260869565,0.3,9498,2021-06-26,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-07,4,6971.13869565217,5980.26913043478,0,990.869565217391,0.223478260869565,0.3,9928,2021-07-03,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-14,1,2764.64130434783,1766.33695652174,0,998.304347826087,0.0495652173913044,0.5,4955,2021-06-19,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-14,2,4374.86043478261,3546.12130434783,0,828.739130434783,0.223478260869565,0.3,6703,2021-06-26,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-14,3,5321.56086956522,4710.03913043478,0,611.521739130435,0.310434782608696,0.2,7023,2021-07-03,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-14,4,5938.00347826087,5576.56869565217,0,361.434782608696,0.310434782608696,0.2,5715,2021-07-10,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-21,1,1654.9952173913,1602.60391304348,0,52.3913043478261,0.310434782608696,0.2,1101,2021-06-26,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-21,2,2952.96956521739,2905.92608695652,0,47.0434782608696,0.397391304347826,0.1,1082,2021-07-03,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-21,3,3869.35565217391,3854.66,14.695652173913,0,0.397391304347826,-0.1,338,2021-07-10,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-21,4,4797.9947826087,4650.38608695652,147.608695652174,0,0.397391304347826,-0.1,3395,2021-07-17,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-28,1,1479.20739130435,1473.99,0,5.21739130434783,0.397391304347826,0.1,120,2021-07-03,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-28,2,2751.18782608696,2689.88347826087,61.304347826087,0,0.397391304347826,-0.1,1410,2021-07-10,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-28,3,3930.62956521739,3644.36869565217,286.260869565217,0,0.310434782608696,-0.2,4504,2021-07-17,statistical
CovidMetrics-epiBATS,DE,Cases,2021-06-28,4,4951.42782608696,4409.5147826087,541.913043478261,0,0.310434782608696,-0.2,7068,2021-07-24,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-05,1,1521.64173913044,1481.59826086957,40.0434782608696,0,0.397391304347826,-0.1,921,2021-07-10,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-05,2,3058.4352173913,2752.82652173913,305.608695652174,0,0.310434782608696,-0.2,3911,2021-07-17,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-05,3,4258.68347826087,3717.90086956522,540.782608695652,0,0.310434782608696,-0.2,6440,2021-07-24,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-05,4,5692.38130434783,4509.12043478261,1183.26086956522,0,0.223478260869565,-0.3,10679,2021-07-31,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-12,1,1814.71043478261,1581.36260869565,233.347826086957,0,0.223478260869565,-0.3,2315,2021-07-17,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-12,2,3386.34739130435,2988.39086956522,397.95652173913,0,0.310434782608696,-0.2,4611,2021-07-24,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-12,3,5015.05782608696,4005.36217391304,1009.69565217391,0,0.223478260869565,-0.3,8773,2021-07-31,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-12,4,6448.13565217391,4802.30956521739,1645.82608695652,0,0.223478260869565,-0.3,12778,2021-08-07,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-19,1,1730.12652173913,1688.7352173913,41.3913043478261,0,0.397391304347826,-0.1,952,2021-07-24,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-19,2,3796.05652173913,3390.31739130435,405.739130434783,0,0.310434782608696,-0.2,4660,2021-07-31,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-19,3,5506.90391304348,4547.68652173913,959.217391304348,0,0.223478260869565,-0.3,8514,2021-08-07,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-19,4,8823.3047826087,5404.95695652174,3418.34782608696,0,0.0495652173913044,-0.5,18508,2021-08-14,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-26,1,1910.61434782609,1706.8752173913,203.739130434783,0,0.223478260869565,-0.3,2162,2021-07-31,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-26,2,4180.07652173913,3564.38086956522,615.695652173913,0,0.223478260869565,-0.3,5619,2021-08-07,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-26,3,7863.24826086957,4819.72652173913,3043.52173913044,0,0.0495652173913044,-0.5,15481,2021-08-14,statistical
CovidMetrics-epiBATS,DE,Cases,2021-07-26,4,15581.5039130435,5754.50391304348,9827,0,-0.124347826086957,-0.7,32029,2021-08-21,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-02,1,2196.04782608696,1707.96086956522,488.086956521739,0,0.136521739130435,-0.4,3358,2021-08-07,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-02,2,6852.42956521739,3655.08173913044,3197.34782608696,0,-0.0373913043478261,-0.6,13207,2021-08-14,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-02,3,15445.9513043478,4972.90782608696,10473.0434782609,0,-0.211304347826087,-0.8,29752,2021-08-21,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-02,4,26153.2030434783,5944.76826086957,20208.4347826087,0,-0.298260869565217,-0.9,47670,2021-08-28,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-09,1,4104.50347826087,1700.37304347826,2404.13043478261,0,-0.124347826086957,-0.7,7697,2021-08-14,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-09,2,13051.2213043478,3777.61260869565,9273.60869565217,0,-0.298260869565217,-0.9,23491,2021-08-21,statistical
