team_name,model_name,model_abbr,model_contributors,methods,data_inputs,methods_long
Epiforecasts / London School of Hygiene and Tropical Medicine,EpiExpert (epiforecasts),epiforecasts-EpiExpert,"Nikos Bosse , Sam Abbott , Sebastian Funk",Mean ensemble of human predictions,ECDC deaths and cases,Forecasts from experts and non-experts are elicited using a shinyApp. \
Epiforecasts / London School of Hygiene and Tropical Medicine,EpiNow2 (epiforecasts),epiforecasts-EpiNow2,"Nikos Bosse , Sam Abbott , Sebastian Funk ",Semi-mechanistic estimation of the time-varying reproduction number for latent infections mapped to reported cases/deaths.,ECDC deaths and cases,"EpiNow2 implements a Bayesian latent variable approach using the probabilistic programming language Stan, which works as follows. For an initial, unobserved, seeding time infections were estimated using an exponential model with priors based on observed growth. For each subsequent time step, previous imputed infections were summed, weighted by an uncertain generation time probability mass function, and combined with an estimate of Rt to give the incidence at that time. The infection trajectories were then mapped to mean reported case counts by convolving over an uncertain incubation period and report delay distribution. Observed reported case counts were then assumed to be generated from a negative binomial observation model with overdispersion, multiplied by a day of the week effect with an independent parameter for each day of the week. Temporal variation was controlled using an approximate Gaussian process with a Matern 3/2 kernel. Rt was assumed to be constant over the forecast horizon although a correction was applied to adjust for the time-varying proportion of the population that was susceptible. Deaths were then modelled as a convolution of forecast cases combined with some scaling factor, a day of the week effect and a negative binomial observation model."
European COVID-19 Forecast Hub,baseline,EuroCOVIDhub-baseline,European COVID-19 Forecast Hub team ,An baseline model against which other models can be evaluated,observed incident cases and deaths (from JHU).,Baseline model automatically generated using past truth data via the script create-baseline.R in the present repository. Baseline generated using code at https://github.com/reichlab/covidModels/blob/master/R-package/R/quantile_baseline.R
European COVID-19 Forecast Hub,ensemble,EuroCOVIDhub-ensemble ,"Katharine Sherratt , Nikos Bosse , Sebastian Funk ","An ensemble, or model average, of submitted forecasts to the European COVID-19 Forecast Hub.",incident case and death forecasts from other models.,The current ensemble is specified in https://github.com/epiforecasts/covid19-forecast-hub-europe/blob/main/forecasthub.yml and a history of methods used for the ensemble in https://github.com/epiforecasts/covid19-forecast-hub-europe/blob/main/code/ensemble/EuroCOVIDhub/method-by-date.csv
IEM Health,CovidProjections,IEM_Health-CovidProject,"Brad Suchoski (IEM) , Steve Stage (IEM) ,",SEIR model projections for daily incident confirmed COVID cases and deaths by using AI to fit actual cases observed.,JHU reported daily confirmed cases and deaths,IEM is currently using an AI model to fit data from various sources \
ILM,EKF,ILM-EKF,"Stefan Heyder , Thomas Hotz ",Extended Kalman filter based on reproduction equation,JHU,We use the reproduction equation to obtain a state space model whose states \
Los Alamos National Labs,GrowthRate,LANL-GrowthRate,"Dave Osthus ,  Sara Del Valle,  Carrie Manore,  Brian","This model makes predictions about the future, unconditional on particular","JHU (confirmed cases; reported fatalities), population","This model makes predictions about the future, unconditional on particular\"
University of Southern California,SIkJalpha,USC-SIkJalpha,"Ajitesh Srivastava ,  Frost Tianjian Xu",A heterogeneous infection rate model with human mobility for epidemic modeling.,"JHU (cases, deaths), Our World in Data (vaccinations)","We use our own epidemic model called SI-kJalpha, preliminary version"
"Robert Walraven","EmpericalSkewedGaussian","RobertWalraven-ESG","Robert Walraven ","-","Existing case and death raw JHU data plus hospitalization data from HealthData.gov.","-"
"Priesemann Group, MPI-DS",Bayesian SIR,DSMPG-bayes,"Sebastian B. Mohr (Max Planck Institute for Dynamics and Self-Organization), Jonas Dehning (Max Planck Institute for Dynamics and Self-Organization), Viola Priesemann (Max Planck Institute for Dynamics and Self-Organization)",Bayesian inference of SIR-dynamics,JHU CSSE (confirmed cases; reported fatalities),This model simulates SIR-dynamics with a log-normal convolutions \
UMass-Amherst,SemiMech,UMass-SemiMech,"Graham Gibson, Evan Ray, Dan Sheldon",Bayesian semi-compartmental model with observations on incident case counts,JHU -CSSEGISandData,See GitHub for full description
UMass-Amherst,MechBayes,UMass-MechBayes,"Dan Sheldon, Graham Gibson,",Bayesian compartmental model with observations on cumulative case counts,JHU -CSSEGISandData,See GitHub for full description
Centre for Modelling of Biological and Social Processes,SeirFilterLite,bisop-seirfilterlite,"Martin  m d, Jan Trnka, V t Tu ek, Milan Zaj ek",A simple stochastic SEIR state space model,"John Hopkins data, Google Mobility Recors","A variant of SeirFilter (https://www.medrxiv.org/content/10.1101/2021.02.16.21251834v1) with compartnents S-E-Ia-Ip-Is-R-D where Ia are the asymptomatic, Ip the presymptomatic and Is the symptomatic. Only past data and the Google mobility indices used as inputs, the variability of R0 (virus variant, vaccination, seasonality) is handled via its estimation from past. In particular, R0 is estimated by the weighted time-average of reproduction number  (computed as R(t)=(C(t) - C(t-7))/(C(t-5)-C(t-12))) divided by the estimated number of contacts (obtained from the Google mobilty indices)."
Epiforecasts / London School of Hygiene and Tropical Medicine,EpiExpert Rt (epiforecasts),epiforecasts-EpiExpert_Rt,"Nikos Bosse , Sam Abbott , Sebastian Funk",Mean ensemble of human predictions of Rt which get mapped to cases and deaths using a renewal equation,ECDC deaths and cases,Forecasts of Rt from experts and non-experts are elicited using a shinyApp. \
Epiforecasts / London School of Hygiene and Tropical Medicine,EpiExpert Direct (epiforecasts),epiforecasts-EpiExpert_direct,"Nikos Bosse , Sam Abbott , Sebastian Funk",Mean ensemble of human predictions,ECDC deaths and cases,Forecasts from experts and non-experts are elicited using a shinyApp. \
