team_name,model_name,model_abbr,model_contributors,methods,data_inputs,methods_long,model_type,unsure,unsure_explanation,links
Epiforecasts / London School of Hygiene and Tropical Medicine,EpiExpert (epiforecasts),epiforecasts-EpiExpert,"Nikos Bosse , Sam Abbott , Sebastian Funk",Mean ensemble of human predictions,ECDC deaths and cases,Forecasts from experts and non-experts are elicited using a shinyApp. ,other,0,,
Epiforecasts / London School of Hygiene and Tropical Medicine,EpiNow2 (epiforecasts),epiforecasts-EpiNow2,"Nikos Bosse , Sam Abbott , Sebastian Funk ",Semi-mechanistic estimation of the time-varying reproduction number for latent infections mapped to reported cases/deaths.,ECDC deaths and cases,"EpiNow2 implements a Bayesian latent variable approach using the probabilistic programming language Stan, which works as follows. For an initial, unobserved, seeding time infections were estimated using an exponential model with priors based on observed growth. For each subsequent time step, previous imputed infections were summed, weighted by an uncertain generation time probability mass function, and combined with an estimate of Rt to give the incidence at that time. The infection trajectories were then mapped to mean reported case counts by convolving over an uncertain incubation period and report delay distribution. Observed reported case counts were then assumed to be generated from a negative binomial observation model with overdispersion, multiplied by a day of the week effect with an independent parameter for each day of the week. Temporal variation was controlled using an approximate Gaussian process with a Matern 3/2 kernel. Rt was assumed to be constant over the forecast horizon although a correction was applied to adjust for the time-varying proportion of the population that was susceptible. Deaths were then modelled as a convolution of forecast cases combined with some scaling factor, a day of the week effect and a negative binomial observation model.",semi,0,,
European COVID-19 Forecast Hub,baseline,EuroCOVIDhub-baseline,European COVID-19 Forecast Hub team ,An baseline model against which other models can be evaluated,observed incident cases and deaths (from JHU).,Baseline model automatically generated using past truth data via the script create-baseline.R in the present repository. Baseline generated using code at https://github.com/reichlab/covidModels/blob/master/R-package/R/quantile_baseline.R,baseline,0,,
European COVID-19 Forecast Hub,ensemble,EuroCOVIDhub-ensemble ,"Katharine Sherratt , Nikos Bosse , Sebastian Funk ","An ensemble, or model average, of submitted forecasts to the European COVID-19 Forecast Hub.",incident case and death forecasts from other models.,The current ensemble is specified in https://github.com/epiforecasts/covid19-forecast-hub-europe/blob/main/forecasthub.yml and a history of methods used for the ensemble in https://github.com/epiforecasts/covid19-forecast-hub-europe/blob/main/code/ensemble/EuroCOVIDhub/method-by-date.csv,ensemble,0,,
IEM Health,CovidProjections,IEM_Health-CovidProject,"Brad Suchoski (IEM) , Steve Stage (IEM) ,",SEIR model projections for daily incident confirmed COVID cases and deaths by using AI to fit actual cases observed.,JHU reported daily confirmed cases and deaths,"""IEM is currently using an AI model to fit data from various sources and project new cases of COVID-19. We do not assume the average number of secondary infections (R-value) stays the same over time. Our model makes projections for over 375 individual counties in the U.S., all 50 states, the District of Columbia, 3 U.S. territories, and 32 European countries. For each jurisdiction, our model runs 4 million simulations to find the best R value that would allow the SEIR model to fit the data for confirmed cases. Our model assumes that the R value changes quite rapidly over time due to changes in human behavior. Our model uses a sliding window to fit the data and find the best R values for each of the windows.""",mechanistic,0,,
ILM,EKF,ILM-EKF,"Stefan Heyder , Thomas Hotz ",Extended Kalman filter based on reproduction equation,JHU,"""We use the reproduction equation to obtain a state space model whose states comprise incidences, the current reproduction number, the generation time distribution, as well as fraction of deaths by delay. An extended Kalman filter is used to fit this model and obtain forecasts. Quantiles for the latter are obtained from a log-normal distribution with mean and variance given by the prediction steps.""",semi,1,,
Los Alamos National Labs,GrowthRate,LANL-GrowthRate,"Dave Osthus ,  Sara Del Valle,  Carrie Manore,  Brian","This model makes predictions about the future, unconditional on particular intervention strategies. Statistical dynamical growth model accounting for population
  susceptibility.","JHU (confirmed cases; reported fatalities), population","""This model makes predictions about the future, unconditional on particular intervention strategies. The model consists of two processes. The first process is a statistical model of how the  number of COVID-19 infections changes over time. The second process maps the number of  infections to the reported data. We model the growth of new cases as the product of a  dynamic growth parameter and the underlying numbers of susceptible and infected cases  in the population at the previous time step, scaled by the size of the state's starting  susceptible population. Change 2020-10-29: The growth parameter can be thought of as the transmissibility of
   the virus in that state on that date and is a weighted regression between the 
   trend in the growth rate over the past 42 days and a growth rate that would keep 
   the number of new daily confirmed cases constant. The weights of these two components are dynamically tuned to the observed data. To model new deaths in the population, we assume that a fraction of the 1,2,3,4, or 5-week moving average of the daily  confirmed cases will die. The model learns both the moving average window and the case fatality fraction that best fits the historical observations.""",semi,1,"it says statistical model, but the long explanation mentions e.g. 'numbers of susceptible and infected cases', which sounds very mechanistic",
University of Southern California,SIkJalpha,USC-SIkJalpha,"Ajitesh Srivastava ,  Frost Tianjian Xu",A heterogeneous infection rate model with human mobility for epidemic modeling.,"JHU (cases, deaths), Our World in Data (vaccinations)","We use our own epidemic model called SI-kJalpha, preliminary version
  of which we have successfully used during DARPA Grand Challenge 2014. Our model
  can consider the effect of many complexities of the epidemic process and yet be
  simplified to a few parameters that are learned using fast linear regressions. Therefore,  our approach can learn and generate forecasts extremely quickly. On a 2 core desktop
  machine, our approach takes only 3.18s to tune hyper-parameters, learn parameters
  and generate 100 days of forecasts of reported cases and deaths for all the states
  in the US. The total execution time for 184 countries is 11.83s and for more than
  3000 US counties is 30s. Despite being fast, the accuracy of our forecasts is
  on par with the state-of-the-art as demonstrated by our evaluation and benchmarking page at https://scc-usc.github.io/covid19-forecast-bench
  Our model is able to quickly adapt to changing trends, and the variations in parameters during different times/policies allow us to forecast different scenarios such as what would happen if we were to disregard social distancing suggestions.",mechanistic,1,mentions SIR categories in paper,https://arxiv.org/pdf/2007.05180.pdf
"Robert Walraven
","EmpericalSkewedGaussian
","RobertWalraven-ESG
","Robert Walraven 
",Multiple skewed gaussian distribution peaks fit to raw data,"Existing case and death raw JHU data plus hospitalization data from HealthData.gov.
","The incremental cases and deaths of a single outbreak predicted by a simple SEIR model can be approximated closely with a particular skewed gaussian distribution that we developed that has four empirical parameters: height, position, left growth rate, and right decay rate.
    The ESG model assumes the JHU data consists of independent outbreaks at different times, and fits multiple peaks to the data, keeping the number of peaks to a minimum in order to fit with high accuracy the data after Loess smoothing.  The most recent peaks are then used to generate a daily forecast forward three months.  Hospitalization data and the pattern of older peaks is used to visually confirm the forecasts look correct and if not, manual adjustments are made to the forecast.
    The ESG model is a emperical mathematical model that makes no epidemiological assumptions and has no epidemiological parameters, so can serve as a baseline forecast against which to compare SEIR-based models.
",statistical,1,,
"Priesemann Group, MPI-DS",Bayesian SIR,DSMPG-bayes,"Sebastian B. Mohr (Max Planck Institute for Dynamics and Self-Organization), Jonas Dehning (Max Planck Institute for Dynamics and Self-Organization), Viola Priesemann (Max Planck Institute for Dynamics and Self-Organization)",Bayesian inference of SIR-dynamics,JHU CSSE (confirmed cases, This model simulates SIR-dynamics with a log-normal convolutions ,semi,,1,"definitely not purely statistical, but maybejust mechanistic?"
